Epoch 0/500, LR: [0.001], Avg Train Loss: 0.310169, Train Accuracy: 0.9010744627686157, Val Accuracy: 0.500998003992016
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.290425, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.283764, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.275827, Train Accuracy: 0.9006996501749125, Val Accuracy: 0.500998003992016
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.267928, Train Accuracy: 0.9016991504247877, Val Accuracy: 0.500998003992016
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.266570, Train Accuracy: 0.9017241379310345, Val Accuracy: 0.500998003992016
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.260224, Train Accuracy: 0.9016241879060469, Val Accuracy: 0.500998003992016
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.260320, Train Accuracy: 0.9019740129935032, Val Accuracy: 0.5014970059880239
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.258911, Train Accuracy: 0.904847576211894, Val Accuracy: 0.500998003992016
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.254852, Train Accuracy: 0.9061719140429785, Val Accuracy: 0.500998003992016
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.252369, Train Accuracy: 0.9073463268365817, Val Accuracy: 0.5010978043912175
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.259565, Train Accuracy: 0.907496251874063, Val Accuracy: 0.5012974051896207
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.250657, Train Accuracy: 0.9060969515242379, Val Accuracy: 0.5013972055888224
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.249819, Train Accuracy: 0.9032733633183408, Val Accuracy: 0.5012974051896207
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.245355, Train Accuracy: 0.9083458270864567, Val Accuracy: 0.5015968063872256
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.241396, Train Accuracy: 0.9083958020989505, Val Accuracy: 0.5014970059880239
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.240388, Train Accuracy: 0.9083208395802099, Val Accuracy: 0.5018962075848303
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.239481, Train Accuracy: 0.9084707646176912, Val Accuracy: 0.5017964071856288
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.237975, Train Accuracy: 0.9090204897551224, Val Accuracy: 0.5012974051896207
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.237588, Train Accuracy: 0.9092953523238381, Val Accuracy: 0.5016966067864271
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.235576, Train Accuracy: 0.9105697151424288, Val Accuracy: 0.500998003992016
Epoch 21/500, LR: [0.001], Avg Train Loss: 0.233952, Train Accuracy: 0.9110944527736132, Val Accuracy: 0.500998003992016
Epoch 22/500, LR: [0.001], Avg Train Loss: 0.235412, Train Accuracy: 0.9099950024987506, Val Accuracy: 0.5010978043912175
Epoch 23/500, LR: [0.001], Avg Train Loss: 0.231920, Train Accuracy: 0.9100949525237382, Val Accuracy: 0.500998003992016
Epoch 24/500, LR: [0.001], Avg Train Loss: 0.234338, Train Accuracy: 0.9094952523738131, Val Accuracy: 0.500998003992016
Epoch 25/500, LR: [0.001], Avg Train Loss: 0.233009, Train Accuracy: 0.9111444277861069, Val Accuracy: 0.5010978043912175
Epoch 26/500, LR: [0.001], Avg Train Loss: 0.234239, Train Accuracy: 0.91111944027986, Val Accuracy: 0.500998003992016
Epoch 27/500, LR: [0.001], Avg Train Loss: 0.230941, Train Accuracy: 0.9110194902548726, Val Accuracy: 0.500998003992016
Epoch 28/500, LR: [0.001], Avg Train Loss: 0.233062, Train Accuracy: 0.9117191404297851, Val Accuracy: 0.5010978043912175
Epoch 29/500, LR: [0.001], Avg Train Loss: 0.232715, Train Accuracy: 0.9094452773613193, Val Accuracy: 0.5010978043912175
Epoch 30/500, LR: [0.001], Avg Train Loss: 0.230417, Train Accuracy: 0.9111694152923538, Val Accuracy: 0.500998003992016
Epoch 31/500, LR: [0.001], Avg Train Loss: 0.232822, Train Accuracy: 0.91031984007996, Val Accuracy: 0.500998003992016
Epoch 32/500, LR: [0.001], Avg Train Loss: 0.229586, Train Accuracy: 0.9118190904547726, Val Accuracy: 0.5010978043912175
Epoch 33/500, LR: [0.001], Avg Train Loss: 0.226985, Train Accuracy: 0.9108445777111445, Val Accuracy: 0.5010978043912175
Epoch 34/500, LR: [0.001], Avg Train Loss: 0.227328, Train Accuracy: 0.9106196901549225, Val Accuracy: 0.500998003992016
Epoch 35/500, LR: [0.001], Avg Train Loss: 0.228484, Train Accuracy: 0.9113693153423288, Val Accuracy: 0.500998003992016
Epoch 36/500, LR: [0.001], Avg Train Loss: 0.226727, Train Accuracy: 0.9112693653173414, Val Accuracy: 0.500998003992016
Epoch 37/500, LR: [0.001], Avg Train Loss: 0.227357, Train Accuracy: 0.9113943028485757, Val Accuracy: 0.500998003992016
Epoch 38/500, LR: [0.001], Avg Train Loss: 0.228406, Train Accuracy: 0.9111694152923538, Val Accuracy: 0.5010978043912175
Epoch 39/500, LR: [0.001], Avg Train Loss: 0.225875, Train Accuracy: 0.9104697651174413, Val Accuracy: 0.5012974051896207
Epoch 40/500, LR: [0.001], Avg Train Loss: 0.225218, Train Accuracy: 0.9121689155422289, Val Accuracy: 0.500998003992016
Epoch 41/500, LR: [0.001], Avg Train Loss: 0.228732, Train Accuracy: 0.9118690654672663, Val Accuracy: 0.500998003992016
Epoch 42/500, LR: [0.001], Avg Train Loss: 0.225634, Train Accuracy: 0.9110944527736132, Val Accuracy: 0.5010978043912175
Epoch 43/500, LR: [0.001], Avg Train Loss: 0.224545, Train Accuracy: 0.9120939530234883, Val Accuracy: 0.500998003992016
Epoch 44/500, LR: [0.001], Avg Train Loss: 0.225707, Train Accuracy: 0.9111694152923538, Val Accuracy: 0.500998003992016
Epoch 45/500, LR: [0.001], Avg Train Loss: 0.225498, Train Accuracy: 0.9117191404297851, Val Accuracy: 0.500998003992016
Epoch 46/500, LR: [0.001], Avg Train Loss: 0.224786, Train Accuracy: 0.9111944027986006, Val Accuracy: 0.5013972055888224
Epoch 47/500, LR: [0.001], Avg Train Loss: 0.227867, Train Accuracy: 0.9125937031484258, Val Accuracy: 0.5010978043912175
Epoch 48/500, LR: [0.001], Avg Train Loss: 0.223637, Train Accuracy: 0.9111944027986006, Val Accuracy: 0.5010978043912175
Epoch 49/500, LR: [0.001], Avg Train Loss: 0.223698, Train Accuracy: 0.9103698150924537, Val Accuracy: 0.5013972055888224
Epoch 50/500, LR: [0.001], Avg Train Loss: 0.224213, Train Accuracy: 0.9118690654672663, Val Accuracy: 0.5010978043912175
Epoch 51/500, LR: [0.001], Avg Train Loss: 0.228390, Train Accuracy: 0.9100949525237382, Val Accuracy: 0.5015968063872256
Epoch 52/500, LR: [0.001], Avg Train Loss: 0.225616, Train Accuracy: 0.912368815592204, Val Accuracy: 0.5010978043912175
Epoch 53/500, LR: [0.001], Avg Train Loss: 0.221372, Train Accuracy: 0.9105697151424288, Val Accuracy: 0.5012974051896207
Epoch 54/500, LR: [0.001], Avg Train Loss: 0.223338, Train Accuracy: 0.9122438780609695, Val Accuracy: 0.5010978043912175
Epoch 55/500, LR: [0.001], Avg Train Loss: 0.221578, Train Accuracy: 0.9120939530234883, Val Accuracy: 0.500998003992016
Epoch 56/500, LR: [0.001], Avg Train Loss: 0.222024, Train Accuracy: 0.9112193903048476, Val Accuracy: 0.5010978043912175
Epoch 57/500, LR: [0.001], Avg Train Loss: 0.222462, Train Accuracy: 0.9112443778110945, Val Accuracy: 0.5012974051896207
Epoch 58/500, LR: [0.001], Avg Train Loss: 0.225347, Train Accuracy: 0.9121189405297351, Val Accuracy: 0.5010978043912175
Epoch 59/500, LR: [0.001], Avg Train Loss: 0.223452, Train Accuracy: 0.9123188405797101, Val Accuracy: 0.5011976047904192
Epoch 60/500, LR: [0.001], Avg Train Loss: 0.224276, Train Accuracy: 0.9113193403298351, Val Accuracy: 0.5010978043912175
Epoch 61/500, LR: [0.001], Avg Train Loss: 0.221464, Train Accuracy: 0.9121189405297351, Val Accuracy: 0.500998003992016
Epoch 62/500, LR: [0.001], Avg Train Loss: 0.222193, Train Accuracy: 0.9116941529235383, Val Accuracy: 0.5010978043912175
Epoch 63/500, LR: [0.001], Avg Train Loss: 0.221942, Train Accuracy: 0.9118440779610195, Val Accuracy: 0.500998003992016
Epoch 64/500, LR: [0.001], Avg Train Loss: 0.221138, Train Accuracy: 0.9111444277861069, Val Accuracy: 0.5010978043912175
Epoch 65/500, LR: [0.001], Avg Train Loss: 0.224306, Train Accuracy: 0.9115442278860569, Val Accuracy: 0.5010978043912175
Epoch 66/500, LR: [0.001], Avg Train Loss: 0.223657, Train Accuracy: 0.9115442278860569, Val Accuracy: 0.5013972055888224
Epoch 67/500, LR: [0.001], Avg Train Loss: 0.221309, Train Accuracy: 0.9122688655672164, Val Accuracy: 0.500998003992016
Epoch 68/500, LR: [0.001], Avg Train Loss: 0.220701, Train Accuracy: 0.9126686656671664, Val Accuracy: 0.5010978043912175
Epoch 69/500, LR: [0.001], Avg Train Loss: 0.219883, Train Accuracy: 0.9121689155422289, Val Accuracy: 0.5010978043912175
Epoch 70/500, LR: [0.001], Avg Train Loss: 0.218816, Train Accuracy: 0.912543728135932, Val Accuracy: 0.5011976047904192
Epoch 71/500, LR: [0.001], Avg Train Loss: 0.219763, Train Accuracy: 0.9126686656671664, Val Accuracy: 0.5010978043912175
Epoch 72/500, LR: [0.001], Avg Train Loss: 0.218741, Train Accuracy: 0.9118690654672663, Val Accuracy: 0.5013972055888224
Epoch 73/500, LR: [0.001], Avg Train Loss: 0.227116, Train Accuracy: 0.9102698650674663, Val Accuracy: 0.500998003992016
Epoch 74/500, LR: [0.001], Avg Train Loss: 0.224937, Train Accuracy: 0.9115192403798101, Val Accuracy: 0.500998003992016
Epoch 75/500, LR: [0.001], Avg Train Loss: 0.222716, Train Accuracy: 0.9114942528735632, Val Accuracy: 0.500998003992016
Epoch 76/500, LR: [0.001], Avg Train Loss: 0.219615, Train Accuracy: 0.9116191904047976, Val Accuracy: 0.5010978043912175
Epoch 77/500, LR: [0.001], Avg Train Loss: 0.219167, Train Accuracy: 0.9112193903048476, Val Accuracy: 0.5010978043912175
Epoch 78/500, LR: [0.001], Avg Train Loss: 0.218660, Train Accuracy: 0.911944027986007, Val Accuracy: 0.5010978043912175
Epoch 79/500, LR: [0.001], Avg Train Loss: 0.218054, Train Accuracy: 0.9124937531234383, Val Accuracy: 0.5011976047904192
Epoch 80/500, LR: [0.001], Avg Train Loss: 0.218278, Train Accuracy: 0.9127936031984007, Val Accuracy: 0.5010978043912175
Epoch 81/500, LR: [0.001], Avg Train Loss: 0.217200, Train Accuracy: 0.9118940529735132, Val Accuracy: 0.5010978043912175
Epoch 82/500, LR: [0.001], Avg Train Loss: 0.218964, Train Accuracy: 0.9125187406296852, Val Accuracy: 0.500998003992016
Epoch 83/500, LR: [0.001], Avg Train Loss: 0.217743, Train Accuracy: 0.911944027986007, Val Accuracy: 0.5010978043912175
Epoch 84/500, LR: [0.001], Avg Train Loss: 0.217658, Train Accuracy: 0.9119940029985008, Val Accuracy: 0.500998003992016
Epoch 85/500, LR: [0.001], Avg Train Loss: 0.216025, Train Accuracy: 0.912143928035982, Val Accuracy: 0.5010978043912175
Epoch 86/500, LR: [0.001], Avg Train Loss: 0.215504, Train Accuracy: 0.9135182408795602, Val Accuracy: 0.5010978043912175
Epoch 87/500, LR: [0.001], Avg Train Loss: 0.219069, Train Accuracy: 0.9114442778610695, Val Accuracy: 0.5011976047904192
Epoch 88/500, LR: [0.001], Avg Train Loss: 0.217379, Train Accuracy: 0.9119940029985008, Val Accuracy: 0.500998003992016
Epoch 89/500, LR: [0.001], Avg Train Loss: 0.214582, Train Accuracy: 0.9115442278860569, Val Accuracy: 0.500998003992016
Epoch 90/500, LR: [0.001], Avg Train Loss: 0.216663, Train Accuracy: 0.9128935532233883, Val Accuracy: 0.500998003992016
Epoch 91/500, LR: [0.001], Avg Train Loss: 0.215478, Train Accuracy: 0.9129185407296352, Val Accuracy: 0.5011976047904192
Epoch 92/500, LR: [0.001], Avg Train Loss: 0.215221, Train Accuracy: 0.9117191404297851, Val Accuracy: 0.5010978043912175
Epoch 93/500, LR: [0.001], Avg Train Loss: 0.215235, Train Accuracy: 0.9127186406796601, Val Accuracy: 0.5010978043912175
Epoch 94/500, LR: [0.001], Avg Train Loss: 0.216040, Train Accuracy: 0.9125687156421789, Val Accuracy: 0.5010978043912175
Epoch 95/500, LR: [0.001], Avg Train Loss: 0.215136, Train Accuracy: 0.9128185907046477, Val Accuracy: 0.500998003992016
Epoch 96/500, LR: [0.001], Avg Train Loss: 0.215077, Train Accuracy: 0.9129185407296352, Val Accuracy: 0.5010978043912175
Epoch 97/500, LR: [0.001], Avg Train Loss: 0.214266, Train Accuracy: 0.9121189405297351, Val Accuracy: 0.5012974051896207
Epoch 98/500, LR: [0.001], Avg Train Loss: 0.213366, Train Accuracy: 0.9123938030984508, Val Accuracy: 0.5010978043912175
Epoch 99/500, LR: [0.001], Avg Train Loss: 0.215059, Train Accuracy: 0.911944027986007, Val Accuracy: 0.500998003992016
Epoch 100/500, LR: [0.001], Avg Train Loss: 0.217548, Train Accuracy: 0.9125937031484258, Val Accuracy: 0.500998003992016
Epoch 101/500, LR: [0.001], Avg Train Loss: 0.217246, Train Accuracy: 0.9118940529735132, Val Accuracy: 0.5016966067864271
Epoch 102/500, LR: [0.001], Avg Train Loss: 0.213319, Train Accuracy: 0.9118940529735132, Val Accuracy: 0.5013972055888224
