Epoch 0/500, LR: [0.001], Avg Train Loss: 0.581528, Train Accuracy: 0.7598700649675162, Val Accuracy: 0.5758483033932136
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.489094, Train Accuracy: 0.774287856071964, Val Accuracy: 0.5758483033932136
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.467624, Train Accuracy: 0.7847576211894053, Val Accuracy: 0.5758483033932136
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.449419, Train Accuracy: 0.7330084957521239, Val Accuracy: 0.5758483033932136
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.433847, Train Accuracy: 0.8204647676161919, Val Accuracy: 0.5758483033932136
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.407581, Train Accuracy: 0.8278110944527736, Val Accuracy: 0.5605788423153693
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.395010, Train Accuracy: 0.8207646176911544, Val Accuracy: 0.5021956087824351
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.378190, Train Accuracy: 0.8088455772113943, Val Accuracy: 0.5480039920159681
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.370780, Train Accuracy: 0.818415792103948, Val Accuracy: 0.5063872255489021
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.355932, Train Accuracy: 0.8391054472763618, Val Accuracy: 0.5111776447105788
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.344237, Train Accuracy: 0.8395802098950524, Val Accuracy: 0.5018962075848303
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.346417, Train Accuracy: 0.8396051974012994, Val Accuracy: 0.5015968063872256
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.325341, Train Accuracy: 0.8555722138930535, Val Accuracy: 0.5015968063872256
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.322393, Train Accuracy: 0.8592203898050974, Val Accuracy: 0.500998003992016
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.303416, Train Accuracy: 0.8574212893553224, Val Accuracy: 0.500998003992016
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.306952, Train Accuracy: 0.8173663168415792, Val Accuracy: 0.500998003992016
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.307021, Train Accuracy: 0.8687656171914043, Val Accuracy: 0.500998003992016
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.271387, Train Accuracy: 0.856471764117941, Val Accuracy: 0.5031936127744511
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.254789, Train Accuracy: 0.9237631184407796, Val Accuracy: 0.5731536926147704
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.259552, Train Accuracy: 0.9371314342828586, Val Accuracy: 0.5758483033932136
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.192975, Train Accuracy: 0.940679660169915, Val Accuracy: 0.6323353293413174
Epoch 21/500, LR: [0.001], Avg Train Loss: 0.146942, Train Accuracy: 0.8404547726136932, Val Accuracy: 0.9873253493013973
Epoch 22/500, LR: [0.001], Avg Train Loss: 0.125743, Train Accuracy: 0.9915292353823089, Val Accuracy: 1.0
Epoch 23/500, LR: [0.001], Avg Train Loss: 0.035197, Train Accuracy: 0.9950274862568715, Val Accuracy: 1.0
Epoch 24/500, LR: [0.001], Avg Train Loss: 0.064156, Train Accuracy: 0.9938780609695153, Val Accuracy: 1.0
Epoch 25/500, LR: [0.001], Avg Train Loss: 0.015558, Train Accuracy: 0.9963768115942029, Val Accuracy: 1.0
Epoch 26/500, LR: [0.001], Avg Train Loss: 0.009873, Train Accuracy: 0.9994502748625688, Val Accuracy: 1.0
Epoch 27/500, LR: [0.001], Avg Train Loss: 0.011309, Train Accuracy: 0.9997751124437781, Val Accuracy: 1.0
Epoch 28/500, LR: [0.001], Avg Train Loss: 0.115641, Train Accuracy: 0.9832833583208396, Val Accuracy: 1.0
Epoch 29/500, LR: [0.001], Avg Train Loss: 0.052171, Train Accuracy: 0.9992253873063468, Val Accuracy: 1.0
Epoch 30/500, LR: [0.001], Avg Train Loss: 0.013229, Train Accuracy: 0.9994752623688156, Val Accuracy: 1.0
Epoch 31/500, LR: [0.001], Avg Train Loss: 0.004015, Train Accuracy: 0.9999000499750125, Val Accuracy: 1.0
Final Train Accuracy: 0.9999000499750125, Val Accuracy: 1.0, Test Accuracy: 1.0
