Epoch 0/500, LR: [0.001], Avg Train Loss: 1.109745, Train Accuracy: 0.793303348325837, Val Accuracy: 0.5758483033932136
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.442439, Train Accuracy: 0.8169665167416292, Val Accuracy: 0.5758483033932136
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.419637, Train Accuracy: 0.8058220889555222, Val Accuracy: 0.5758483033932136
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.416129, Train Accuracy: 0.793928035982009, Val Accuracy: 0.5758483033932136
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.403835, Train Accuracy: 0.8160919540229885, Val Accuracy: 0.5758483033932136
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.399282, Train Accuracy: 0.814567716141929, Val Accuracy: 0.5758483033932136
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.389859, Train Accuracy: 0.823088455772114, Val Accuracy: 0.5758483033932136
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.388245, Train Accuracy: 0.8206396801599201, Val Accuracy: 0.5758483033932136
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.393966, Train Accuracy: 0.8044477761119441, Val Accuracy: 0.5758483033932136
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.382570, Train Accuracy: 0.8305597201399301, Val Accuracy: 0.5758483033932136
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.372242, Train Accuracy: 0.8219890054972514, Val Accuracy: 0.5758483033932136
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.368474, Train Accuracy: 0.7959770114942529, Val Accuracy: 0.5758483033932136
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.375051, Train Accuracy: 0.834007996001999, Val Accuracy: 0.5758483033932136
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.375164, Train Accuracy: 0.8254622688655672, Val Accuracy: 0.5758483033932136
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.368474, Train Accuracy: 0.8412793603198401, Val Accuracy: 0.5375249500998004
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.358828, Train Accuracy: 0.8424787606196902, Val Accuracy: 0.5186626746506986
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.366095, Train Accuracy: 0.8293853073463269, Val Accuracy: 0.5474051896207585
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.358641, Train Accuracy: 0.8186656671664168, Val Accuracy: 0.5758483033932136
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.346869, Train Accuracy: 0.7766866566716641, Val Accuracy: 0.5758483033932136
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.347649, Train Accuracy: 0.8482258870564717, Val Accuracy: 0.500998003992016
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.347884, Train Accuracy: 0.8223388305847077, Val Accuracy: 0.5015968063872256
Epoch 21/500, LR: [0.001], Avg Train Loss: 0.336231, Train Accuracy: 0.848175912043978, Val Accuracy: 0.500998003992016
Epoch 22/500, LR: [0.001], Avg Train Loss: 0.334885, Train Accuracy: 0.8377061469265368, Val Accuracy: 0.500998003992016
Epoch 23/500, LR: [0.001], Avg Train Loss: 0.318338, Train Accuracy: 0.7377811094452774, Val Accuracy: 0.5758483033932136
Epoch 24/500, LR: [0.001], Avg Train Loss: 0.329243, Train Accuracy: 0.8510244877561219, Val Accuracy: 0.506686626746507
Epoch 25/500, LR: [0.001], Avg Train Loss: 0.306835, Train Accuracy: 0.8555472263868066, Val Accuracy: 0.500998003992016
Epoch 26/500, LR: [0.001], Avg Train Loss: 0.346843, Train Accuracy: 0.8234632683658171, Val Accuracy: 0.500998003992016
Epoch 27/500, LR: [0.001], Avg Train Loss: 0.321199, Train Accuracy: 0.8540979510244877, Val Accuracy: 0.500998003992016
Epoch 28/500, LR: [0.001], Avg Train Loss: 0.315323, Train Accuracy: 0.796751624187906, Val Accuracy: 0.575249500998004
Epoch 29/500, LR: [0.001], Avg Train Loss: 0.312361, Train Accuracy: 0.8656921539230384, Val Accuracy: 0.500998003992016
Epoch 30/500, LR: [0.001], Avg Train Loss: 0.310009, Train Accuracy: 0.8408045977011495, Val Accuracy: 0.500998003992016
Epoch 31/500, LR: [0.001], Avg Train Loss: 0.301811, Train Accuracy: 0.8067966016991505, Val Accuracy: 0.5758483033932136
Epoch 32/500, LR: [0.001], Avg Train Loss: 0.290802, Train Accuracy: 0.8114692653673163, Val Accuracy: 0.5758483033932136
Epoch 33/500, LR: [0.001], Avg Train Loss: 0.270423, Train Accuracy: 0.8447776111944028, Val Accuracy: 0.5758483033932136
Epoch 34/500, LR: [0.001], Avg Train Loss: 0.293335, Train Accuracy: 0.8578460769615193, Val Accuracy: 0.5758483033932136
Epoch 35/500, LR: [0.001], Avg Train Loss: 0.295942, Train Accuracy: 0.8637181409295352, Val Accuracy: 0.500998003992016
Epoch 36/500, LR: [0.001], Avg Train Loss: 0.292064, Train Accuracy: 0.8562968515742129, Val Accuracy: 0.5758483033932136
Epoch 37/500, LR: [0.001], Avg Train Loss: 0.258287, Train Accuracy: 0.8577211394302848, Val Accuracy: 0.5758483033932136
Epoch 38/500, LR: [0.001], Avg Train Loss: 0.254822, Train Accuracy: 0.7367316341829085, Val Accuracy: 0.5758483033932136
Epoch 39/500, LR: [0.001], Avg Train Loss: 0.269049, Train Accuracy: 0.8450274862568715, Val Accuracy: 0.5758483033932136
Epoch 40/500, LR: [0.001], Avg Train Loss: 0.243099, Train Accuracy: 0.8822838580709645, Val Accuracy: 0.5758483033932136
Epoch 41/500, LR: [0.001], Avg Train Loss: 0.244467, Train Accuracy: 0.8588205897051474, Val Accuracy: 0.5758483033932136
Epoch 42/500, LR: [0.001], Avg Train Loss: 0.241848, Train Accuracy: 0.8966516741629186, Val Accuracy: 0.5758483033932136
Epoch 43/500, LR: [0.001], Avg Train Loss: 0.251814, Train Accuracy: 0.9029735132433783, Val Accuracy: 0.5758483033932136
Epoch 44/500, LR: [0.001], Avg Train Loss: 0.242635, Train Accuracy: 0.874087956021989, Val Accuracy: 0.5758483033932136
Epoch 45/500, LR: [0.001], Avg Train Loss: 0.226702, Train Accuracy: 0.8980509745127436, Val Accuracy: 0.5758483033932136
Epoch 46/500, LR: [0.001], Avg Train Loss: 0.251397, Train Accuracy: 0.856071964017991, Val Accuracy: 0.5758483033932136
Epoch 47/500, LR: [0.001], Avg Train Loss: 0.227281, Train Accuracy: 0.9045977011494253, Val Accuracy: 0.5758483033932136
Epoch 48/500, LR: [0.001], Avg Train Loss: 0.242169, Train Accuracy: 0.9047226386806597, Val Accuracy: 0.5758483033932136
Epoch 49/500, LR: [0.001], Avg Train Loss: 0.257556, Train Accuracy: 0.8990504747626187, Val Accuracy: 0.5758483033932136
Epoch 50/500, LR: [0.001], Avg Train Loss: 0.222925, Train Accuracy: 0.9057721139430285, Val Accuracy: 0.5758483033932136
Epoch 51/500, LR: [0.001], Avg Train Loss: 0.223781, Train Accuracy: 0.8978760619690155, Val Accuracy: 0.5758483033932136
Epoch 52/500, LR: [0.001], Avg Train Loss: 0.197983, Train Accuracy: 0.9215642178910545, Val Accuracy: 0.5758483033932136
Epoch 53/500, LR: [0.001], Avg Train Loss: 0.197879, Train Accuracy: 0.9249125437281359, Val Accuracy: 0.5758483033932136
Epoch 54/500, LR: [0.001], Avg Train Loss: 0.237260, Train Accuracy: 0.8508245877061469, Val Accuracy: 0.5758483033932136
Epoch 55/500, LR: [0.001], Avg Train Loss: 0.218902, Train Accuracy: 0.908095952023988, Val Accuracy: 0.5758483033932136
Epoch 56/500, LR: [0.001], Avg Train Loss: 0.228208, Train Accuracy: 0.9052223888055972, Val Accuracy: 0.5758483033932136
Epoch 57/500, LR: [0.001], Avg Train Loss: 0.247457, Train Accuracy: 0.9039230384807596, Val Accuracy: 0.5758483033932136
Epoch 58/500, LR: [0.001], Avg Train Loss: 0.219552, Train Accuracy: 0.8609695152423789, Val Accuracy: 0.5758483033932136
Epoch 59/500, LR: [0.001], Avg Train Loss: 0.219835, Train Accuracy: 0.8583708145927037, Val Accuracy: 0.5758483033932136
Epoch 60/500, LR: [0.001], Avg Train Loss: 0.203226, Train Accuracy: 0.915167416291854, Val Accuracy: 0.5758483033932136
Epoch 61/500, LR: [0.001], Avg Train Loss: 0.181852, Train Accuracy: 0.913768115942029, Val Accuracy: 0.5758483033932136
Epoch 62/500, LR: [0.001], Avg Train Loss: 0.205088, Train Accuracy: 0.9280859570214892, Val Accuracy: 0.5758483033932136
Epoch 63/500, LR: [0.001], Avg Train Loss: 0.208664, Train Accuracy: 0.9175162418790604, Val Accuracy: 0.5758483033932136
Epoch 64/500, LR: [0.001], Avg Train Loss: 0.192821, Train Accuracy: 0.9274112943528235, Val Accuracy: 0.5758483033932136
Epoch 65/500, LR: [0.001], Avg Train Loss: 0.237922, Train Accuracy: 0.9044227886056971, Val Accuracy: 0.5758483033932136
Epoch 66/500, LR: [0.001], Avg Train Loss: 0.230742, Train Accuracy: 0.9279860069965018, Val Accuracy: 0.5758483033932136
Epoch 67/500, LR: [0.001], Avg Train Loss: 0.200147, Train Accuracy: 0.8752373813093454, Val Accuracy: 0.5759481037924151
Epoch 68/500, LR: [0.001], Avg Train Loss: 0.201729, Train Accuracy: 0.9279610194902549, Val Accuracy: 0.5758483033932136
Epoch 69/500, LR: [0.001], Avg Train Loss: 0.183073, Train Accuracy: 0.9231384307846077, Val Accuracy: 0.5758483033932136
Epoch 70/500, LR: [0.001], Avg Train Loss: 0.207739, Train Accuracy: 0.9266616691654173, Val Accuracy: 0.5758483033932136
Epoch 71/500, LR: [0.001], Avg Train Loss: 0.182118, Train Accuracy: 0.9277861069465267, Val Accuracy: 0.5758483033932136
Epoch 72/500, LR: [0.001], Avg Train Loss: 0.175214, Train Accuracy: 0.9281109445277361, Val Accuracy: 0.5758483033932136
Epoch 73/500, LR: [0.001], Avg Train Loss: 0.313642, Train Accuracy: 0.915792103948026, Val Accuracy: 0.500998003992016
Epoch 74/500, LR: [0.001], Avg Train Loss: 0.241046, Train Accuracy: 0.9286606696651675, Val Accuracy: 0.5758483033932136
Epoch 75/500, LR: [0.001], Avg Train Loss: 0.218929, Train Accuracy: 0.9296601699150425, Val Accuracy: 0.5758483033932136
Epoch 76/500, LR: [0.001], Avg Train Loss: 0.208816, Train Accuracy: 0.9140179910044978, Val Accuracy: 0.5758483033932136
Epoch 77/500, LR: [0.001], Avg Train Loss: 0.206666, Train Accuracy: 0.9164417791104448, Val Accuracy: 0.5766467065868264
Epoch 78/500, LR: [0.001], Avg Train Loss: 0.223321, Train Accuracy: 0.8325587206396802, Val Accuracy: 0.5758483033932136
Epoch 79/500, LR: [0.001], Avg Train Loss: 0.248028, Train Accuracy: 0.8598450774612694, Val Accuracy: 0.5758483033932136
Epoch 80/500, LR: [0.001], Avg Train Loss: 0.217584, Train Accuracy: 0.9215392303848076, Val Accuracy: 0.5758483033932136
Epoch 81/500, LR: [0.001], Avg Train Loss: 0.190965, Train Accuracy: 0.9287356321839081, Val Accuracy: 0.5758483033932136
Epoch 82/500, LR: [0.001], Avg Train Loss: 0.179939, Train Accuracy: 0.9231634182908546, Val Accuracy: 0.5801397205588822
Epoch 83/500, LR: [0.001], Avg Train Loss: 0.186769, Train Accuracy: 0.7812343828085957, Val Accuracy: 0.5758483033932136
Epoch 84/500, LR: [0.001], Avg Train Loss: 0.235018, Train Accuracy: 0.9290354822588706, Val Accuracy: 0.5758483033932136
Epoch 85/500, LR: [0.001], Avg Train Loss: 0.214736, Train Accuracy: 0.9286356821589206, Val Accuracy: 0.5758483033932136
