Epoch 0/500, LR: [0.001], Avg Train Loss: 0.400786, Train Accuracy: 0.8438280859570215, Val Accuracy: 0.5758483033932136
Epoch 1/500, LR: [0.001], Avg Train Loss: 0.361100, Train Accuracy: 0.8472013993003499, Val Accuracy: 0.5758483033932136
Epoch 2/500, LR: [0.001], Avg Train Loss: 0.315496, Train Accuracy: 0.8355072463768116, Val Accuracy: 0.5758483033932136
Epoch 3/500, LR: [0.001], Avg Train Loss: 0.297879, Train Accuracy: 0.8765367316341829, Val Accuracy: 0.5758483033932136
Epoch 4/500, LR: [0.001], Avg Train Loss: 0.266417, Train Accuracy: 0.7366566716641679, Val Accuracy: 0.5758483033932136
Epoch 5/500, LR: [0.001], Avg Train Loss: 0.273304, Train Accuracy: 0.8857321339330335, Val Accuracy: 0.5758483033932136
Epoch 6/500, LR: [0.001], Avg Train Loss: 0.230665, Train Accuracy: 0.9065967016491754, Val Accuracy: 0.5758483033932136
Epoch 7/500, LR: [0.001], Avg Train Loss: 0.190950, Train Accuracy: 0.9207896051974013, Val Accuracy: 0.5758483033932136
Epoch 8/500, LR: [0.001], Avg Train Loss: 0.178258, Train Accuracy: 0.9079210394802598, Val Accuracy: 0.5758483033932136
Epoch 9/500, LR: [0.001], Avg Train Loss: 0.185214, Train Accuracy: 0.9272613693153423, Val Accuracy: 0.5758483033932136
Epoch 10/500, LR: [0.001], Avg Train Loss: 0.170888, Train Accuracy: 0.9294352823588206, Val Accuracy: 0.5758483033932136
Epoch 11/500, LR: [0.001], Avg Train Loss: 0.164642, Train Accuracy: 0.9288105947026487, Val Accuracy: 0.5758483033932136
Epoch 12/500, LR: [0.001], Avg Train Loss: 0.162469, Train Accuracy: 0.9319590204897551, Val Accuracy: 0.577245508982036
Epoch 13/500, LR: [0.001], Avg Train Loss: 0.155895, Train Accuracy: 0.85039980009995, Val Accuracy: 0.5789421157684631
Epoch 14/500, LR: [0.001], Avg Train Loss: 0.173920, Train Accuracy: 0.9341329335332333, Val Accuracy: 0.6450099800399202
Epoch 15/500, LR: [0.001], Avg Train Loss: 0.159975, Train Accuracy: 0.9413293353323339, Val Accuracy: 0.6730538922155689
Epoch 16/500, LR: [0.001], Avg Train Loss: 0.141632, Train Accuracy: 0.9369565217391305, Val Accuracy: 0.5758483033932136
Epoch 17/500, LR: [0.001], Avg Train Loss: 0.146500, Train Accuracy: 0.9422288855572214, Val Accuracy: 0.5758483033932136
Epoch 18/500, LR: [0.001], Avg Train Loss: 0.126723, Train Accuracy: 0.9526736631684158, Val Accuracy: 0.5758483033932136
Epoch 19/500, LR: [0.001], Avg Train Loss: 0.127521, Train Accuracy: 0.9460769615192404, Val Accuracy: 0.5770459081836328
Epoch 20/500, LR: [0.001], Avg Train Loss: 0.113692, Train Accuracy: 0.9591704147926037, Val Accuracy: 0.5758483033932136
Epoch 21/500, LR: [0.001], Avg Train Loss: 0.103025, Train Accuracy: 0.958495752123938, Val Accuracy: 0.5758483033932136
Epoch 22/500, LR: [0.001], Avg Train Loss: 0.128780, Train Accuracy: 0.9415542228885557, Val Accuracy: 0.5758483033932136
Epoch 23/500, LR: [0.001], Avg Train Loss: 0.099693, Train Accuracy: 0.9425787106446777, Val Accuracy: 0.5758483033932136
Epoch 24/500, LR: [0.001], Avg Train Loss: 0.102666, Train Accuracy: 0.9602698650674663, Val Accuracy: 0.5758483033932136
Epoch 25/500, LR: [0.001], Avg Train Loss: 0.091068, Train Accuracy: 0.9609945027486256, Val Accuracy: 0.5758483033932136
Epoch 26/500, LR: [0.001], Avg Train Loss: 0.089702, Train Accuracy: 0.9441029485257372, Val Accuracy: 0.5758483033932136
Epoch 27/500, LR: [0.001], Avg Train Loss: 0.094185, Train Accuracy: 0.9703398300849575, Val Accuracy: 0.5758483033932136
Epoch 28/500, LR: [0.001], Avg Train Loss: 0.090886, Train Accuracy: 0.9608445777111444, Val Accuracy: 0.582934131736527
Epoch 29/500, LR: [0.001], Avg Train Loss: 0.092276, Train Accuracy: 0.9650674662668666, Val Accuracy: 0.5758483033932136
Epoch 30/500, LR: [0.001], Avg Train Loss: 0.084149, Train Accuracy: 0.9690154922538731, Val Accuracy: 0.5758483033932136
Epoch 31/500, LR: [0.001], Avg Train Loss: 0.085249, Train Accuracy: 0.9618690654672664, Val Accuracy: 0.5758483033932136
Epoch 32/500, LR: [0.001], Avg Train Loss: 0.134964, Train Accuracy: 0.9563218390804598, Val Accuracy: 0.5758483033932136
Epoch 33/500, LR: [0.001], Avg Train Loss: 0.107446, Train Accuracy: 0.9595452273863069, Val Accuracy: 0.5768463073852296
Epoch 34/500, LR: [0.001], Avg Train Loss: 0.088989, Train Accuracy: 0.953848075962019, Val Accuracy: 0.5846307385229541
Epoch 35/500, LR: [0.001], Avg Train Loss: 0.087318, Train Accuracy: 0.9493253373313343, Val Accuracy: 0.5758483033932136
Epoch 36/500, LR: [0.001], Avg Train Loss: 0.079514, Train Accuracy: 0.9688405797101449, Val Accuracy: 0.5793413173652695
Epoch 37/500, LR: [0.001], Avg Train Loss: 0.076403, Train Accuracy: 0.9717391304347827, Val Accuracy: 0.5761477045908183
Epoch 38/500, LR: [0.001], Avg Train Loss: 0.069725, Train Accuracy: 0.9606696651674163, Val Accuracy: 0.577245508982036
Epoch 39/500, LR: [0.001], Avg Train Loss: 0.136492, Train Accuracy: 0.9415292353823088, Val Accuracy: 0.5758483033932136
Epoch 40/500, LR: [0.001], Avg Train Loss: 0.093142, Train Accuracy: 0.9529735132433783, Val Accuracy: 0.5758483033932136
Epoch 41/500, LR: [0.001], Avg Train Loss: 0.076940, Train Accuracy: 0.9737131434282859, Val Accuracy: 0.5758483033932136
Epoch 42/500, LR: [0.001], Avg Train Loss: 0.080375, Train Accuracy: 0.9702898550724638, Val Accuracy: 0.5758483033932136
Epoch 43/500, LR: [0.001], Avg Train Loss: 0.069166, Train Accuracy: 0.9752123938030984, Val Accuracy: 0.5758483033932136
Epoch 44/500, LR: [0.001], Avg Train Loss: 0.067300, Train Accuracy: 0.9755872063968016, Val Accuracy: 0.5758483033932136
